"""Problem"",""Severity"",""File"",""Line"",""Column"",""Rule"",""Description"",""URL"",""Category"",""Engine"""
"""83"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\Sample_Req_PDF.page"",""227"",""57"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""84"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\Sample_Request_Form.page"",""276"",""94"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""85"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\ChangeSFDBOwner.trigger"",""9"",""25"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""86"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\ChangeYTDOwner.trigger"",""8"",""25"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""87"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\LeadContact.trigger"",""32"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""88"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\LeadContact.trigger"",""32"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""89"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\LeadContact2.trigger"",""32"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""90"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\LeadContact2.trigger"",""32"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""91"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\OpportunityAttachmentTrigger.trigger"",""11"",""44"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""92"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\OpportunityAttachmentTrigger.trigger"",""11"",""44"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""93"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\OpportunityAttachmentTrigger.trigger"",""58"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""94"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\UpdateOppItemfromDetail.trigger"",""34"",""50"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""95"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\triggers\UpdateOppItemfromDetail.trigger"",""72"",""5"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
